Instance,Formulation,MILP Objective,Upper Bound,Relative Gap,Time (s),MILP Status,MILP Term. Condition,LP Relaxation,Num. Binary Var.,Total Num. Var.,Num. Constraints
network_1_0_25_1_1,F3_YS_0_EST,2000.0,2000.0,0.0,36.17,ok,optimal,2484.0,8918.0,11440.0,2896.0
network_1_1_25_1_1,F3_YS_0_EST,1956.0,1956.0,0.0,41.13,ok,optimal,2484.0,8918.0,11440.0,2896.0
network_1_2_25_1_1,F3_YS_0_EST,1956.0,1956.0,0.0,24.58,ok,optimal,2484.0,8918.0,11440.0,2896.0
network_1_0_30_1_1,F3_YS_0_EST,2500.0,2500.0,0.0,73.52,ok,optimal,3024.0,10633.0,13640.0,3451.0
network_1_1_30_1_1,F3_YS_0_EST,2484.0,2484.0,0.0,104.16,ok,optimal,3024.0,10633.0,13640.0,3451.0
network_1_2_30_1_1,F3_YS_0_EST,2484.0,2484.0,0.0,669.42,ok,optimal,3024.0,10633.0,13640.0,3451.0
network_1_0_35_1_1,F3_YS_0_EST,2916.0,2916.0,0.0,733.12,ok,optimal,3564.0,12348.0,15840.0,4006.0
network_1_1_35_1_1,F3_YS_0_EST,2916.0,2916.0,0.0,1079.37,ok,optimal,3564.0,12348.0,15840.0,4006.0
network_1_2_35_1_1,F3_YS_0_EST,2916.0,2916.0,0.0,874.22,ok,optimal,3564.0,12348.0,15840.0,4006.0
network_1_0_40_1_1,F3_YS_0_EST,3440.0,3440.27,0.0,14173.52,ok,optimal,4104.0,14063.0,18040.0,4561.0
network_1_1_40_1_1,,,,,,,,,,,
network_1_2_40_1_1,,,,,,,,,,,
network_3_0_25_1_1,F3_YS_0_EST,-1026.0,-1026.0,0.0,60.55,ok,optimal,525.71,11388.0,14690.0,4097.0
network_3_1_25_1_1,F3_YS_0_EST,-1026.0,-1026.0,0.0,51.44,ok,optimal,525.71,11388.0,14690.0,4097.0
network_3_2_25_1_1,F3_YS_0_EST,-1026.0,-1026.0,0.0,61.85,ok,optimal,525.71,11388.0,14690.0,4097.0
